site_id,FType,FCode,x,y,area_m2,lon,lat,elevation
nhdhr_{64690709-F773-46A0-8EEA-B2CE77FEA22E},390,39004,420,149,180938.140657656,-72.43237477597843,43.652443653834105,173
nhdhr_111886725,390,39004,421,145,54213.2287898865,-72.26125034097068,43.13921285715688,426
nhdhr_{D811707C-2BD0-4AFE-9822-C194EA54CC91},390,39004,422,153,373570.387016822,-72.24407281352329,44.24616036458344,320
nhdhr_{831C0F64-1797-4DF4-8AC8-B8A89733AD36},390,39004,422,154,238035.564663302,-72.21059352038944,44.32851612333883,465
nhdhr_{6C26017D-0EC4-4CD6-8288-8BE7ED218B50},390,39004,422,155,141092.300731044,-72.17231105576609,44.38641740055188,395
nhdhr_76910737,390,39009,422,150,459552.745064059,-72.14978208205152,43.827384354604995,129
nhdhr_120803452,390,39009,423,147,303121.086467059,-72.11033439967652,43.48291049058567,309
nhdhr_120804426,390,39009,423,146,195228.199472368,-72.10834258592334,43.31801681238027,382
nhdhr_120802920,390,39004,423,148,1625198.0002116,-72.08883450787563,43.59915635502965,271
nhdhr_{D6000038-2B4E-4390-9538-BF3C9515E41A},390,39004,423,153,222518.637729443,-72.09916483173674,44.188216588268105,269
nhdhr_{47CF074B-BF57-491C-AA52-04F45337D38E},390,39004,423,153,215580.551675397,-72.10199701821607,44.24421776525718,246
nhdhr_135999071,390,39009,423,144,729577.577218254,-72.08495117604872,43.06808906503337,390
nhdhr_87403383,390,39009,423,153,99881.0111923525,-72.00952424048519,44.163520232651834,202
nhdhr_{3A98C679-850A-4447-A41A-4EE84AE0E1CB},390,39004,424,157,640748.510299208,-71.98226706733354,44.71665458120087,558
nhdhr_{8A26CEC9-9C59-4D84-9169-31594CA0CAE5},390,39004,424,157,65328.1086664798,-71.98181677827844,44.73137868250811,567
nhdhr_135998338,390,39009,424,146,681124.358431269,-71.96955434402035,43.279768327383906,205
nhdhr_135999453,390,39009,424,142,72233.2901391112,-71.96126233579791,42.85698486563938,231
nhdhr_87403543,390,39009,424,152,96626.78600391,-71.95647074985699,44.11730032321461,240
nhdhr_{F49E2D36-B965-4DA7-975E-3E781F1C5A5B},390,39004,424,155,626273.87948506,-71.93963967175003,44.41621801181759,267
nhdhr_{0A287049-60F2-40C2-B83A-F3B07D3F968C},390,39004,425,155,531682.504792988,-71.87142043502493,44.40019164611864,407
nhdhr_92797827,390,39009,425,149,212003.462183811,-71.82761949445892,43.70975016464898,250
nhdhr_107204233,390,39009,427,149,601153.67196908,-71.56941522359392,43.67886027315786,164
nhdhr_135999612,390,39009,423,142,1301544.95774899,-72.01590673156039,42.7894019297689,314
nhdhr_120802713,390,39009,423,149,2529721.66430365,-72.09365635951119,43.702580914899514,250
nhdhr_135996507,390,39009,426,146,924464.324617457,-71.73735488559187,43.30735678972624,138
nhdhr_92797749,390,39009,427,149,1837162.78284643,-71.60339360013587,43.7213377153866,172
nhdhr_{1F7A4ECA-A4B9-4362-AF01-DC1836F76EC9},390,39004,417,145,106818.656578102,-72.75118491970402,43.23504237986502,453
nhdhr_{0F37CDF2-3F03-483A-A6A0-84AE878B296A},390,39004,418,147,141500.133220935,-72.72499953396293,43.46030875520647,541
nhdhr_{FFF39ECF-3280-4DA4-8329-6006959C71E2},390,39004,419,147,129282.318670101,-72.5689867317956,43.44948161892579,395
nhdhr_{4B68929D-F33D-4001-A7D2-FF4BFB4B894A},390,39004,420,147,251442.167561917,-72.39100472825187,43.484525313255595,98
nhdhr_111886955,390,39009,421,144,791372.682440246,-72.28862914056808,43.118614661778686,361
nhdhr_120803654,390,39009,423,147,1965845.05721463,-72.01888330537534,43.432752003224195,371
nhdhr_120802842,390,39004,423,148,382591.473378379,-72.03389776545116,43.602542535436214,362
nhdhr_120803525,390,39009,423,147,122009.646272885,-72.0230458454413,43.454078214831455,469
nhdhr_135997947,390,39009,424,146,649281.270119247,-71.93850112034592,43.28909666569977,254
nhdhr_87403855,390,39009,424,152,134511.369993199,-71.92731212480182,44.00327148206427,258
nhdhr_{EAE5F3DB-02B9-4384-B46B-6786E70F4E8B},390,39004,424,157,328890.594760166,-71.9202191669386,44.71337909127346,397
