,site_id,FType,FCode,x,y,area_m2,lon,lat,elevation
12264,nhdhr_47487372,390,39004,263,167,4556454.03805854,-92.03854570752351,45.918294105074494,302
6220,nhdhr_120018402,390,39004,256,166,4560543.79357369,-92.94983130737572,45.84919061710572,295
11495,nhdhr_{bf8c1694-e2ed-4719-8b46-864da7ee6238},390,39009,309,118,4565566.86538912,-86.30589257879087,39.846217043035075,240
7958,nhdhr_59746189,390,39004,248,172,4566954.97658321,-93.92402596218088,46.53036216836518,363
266,nhdhr_144368637,390,39004,259,81,4583898.42636524,-92.60079431251243,35.23949040995011,99
8501,nhdhr_120018756,390,39004,238,163,4588563.39911455,-95.22318467438524,45.47237362271551,398
6233,nhdhr_69547201,390,39004,265,166,4591144.42443586,-91.82469214570749,45.83976109882223,332
9145,nhdhr_{4EA76133-68CD-4DA8-A82B-0B568CD9C9B2},390,39004,260,185,4597781.66534076,-92.47242184393215,48.17646178336299,369
2067,nhdhr_112045629,390,39009,347,21,4604141.23426647,-81.52020608210111,27.68568079611536,26
11118,nhdhr_120027943,390,39009,97,105,4606873.81048808,-112.81557348699181,38.23612611821493,1675
11650,nhdhr_122430499,390,39009,6,148,4615829.58343764,-124.14462738306044,43.56134298698838,3
3324,nhdhr_141033553,390,39009,430,145,4627682.87937084,-71.18036998360539,43.247904296118854,156
