,Unnamed: 0,site_id,FType,FCode,x,y,area_m2,lon,lat,elevation,log_area,cluster,3fold_fold,5fold_fold
0,2789,nhdhr_48794466,390,39004,285,103,38173.2729007378,0.11169842871017462,-0.5714745480376087,128,-1.607247611681184,13,0,3
1,2801,nhdhr_49234425,390,39004,290,101,38292.9436659068,0.18109432724118688,-0.617514932443527,118,-1.605327607978489,13,2,3
2,1596,nhdhr_112050779,390,39009,349,17,38322.1650011167,0.9217591537012993,-2.2386301791132928,26,-1.6048596908947308,1,0,0
3,2749,nhdhr_48802158,390,39004,285,102,38681.6695465981,0.1189209365198459,-0.5932017990170286,124,-1.5991320149973547,13,0,1
4,10267,nhdhr_26059064,390,39004,400,123,38772.3218116341,1.572216810833223,-0.1966787937617752,46,-1.5976961344839082,15,1,2
5,893,nhdhr_112029563,390,39004,347,27,38902.4666723572,0.8959909491970268,-2.046180618993353,32,-1.595640572409155,1,1,0
6,1838,nhdhr_107777679,390,39004,351,29,39107.9389763316,0.9453086613980094,-2.023036664748092,17,-1.592409214935949,1,1,4
7,1531,nhdhr_117035503,436,43600,345,12,39160.6529034525,0.8718951646606354,-2.341122851211011,4,-1.5915829464991178,1,0,0
8,8405,nhdhr_81002917,390,39004,266,181,39244.214523891,-0.13053698385608653,0.9358783559081084,487,-1.590275429815251,2,0,3
9,9017,nhdhr_80995375,390,39004,273,184,39275.0209708307,-0.04243640825792459,0.9917480666289884,535,-1.5897940932905639,2,2,0
10,2020,nhdhr_112027809,390,39009,348,28,39290.5149867013,0.9171304934026829,-2.0372035622048412,25,-1.5895521491154174,1,2,1
11,8303,nhdhr_34126978,390,39004,252,160,39349.950264703904,-0.2994256766087784,0.5249743907057869,271,-1.5886249317576147,2,2,2
12,783,nhdhr_129951126,390,39004,326,44,39379.3475708216,0.6320526644640542,-1.7200122844402852,40,-1.5881668379479366,1,0,1
13,1718,nhdhr_68032029,390,39004,342,30,39421.5627624318,0.8390920646870328,-2.002475261716095,12,-1.5875096027436908,1,0,0
14,4970,nhdhr_155642710,390,39009,316,130,39482.1184876412,0.5105114939803573,-0.04672877117968213,276,-1.5865680573231606,13,2,2
15,1697,nhdhr_58673397,436,43600,340,26,39493.2766845338,0.8037497053906384,-2.0626517599557794,17,-1.5863947226435842,1,0,1
16,9397,nhdhr_120020241,390,39004,252,157,39522.8156262729,-0.303318550703317,0.47165033003158036,280,-1.5859360924417634,2,1,0
