site_id,Elevation,FType,FCode,x,y,area_m2,lon,lat
nhdhr_131265697,NA,390,39004,299,66,20677006.2561894,-87.5581788097693,33.34561911158661
nhdhr_63033719,NA,390,39004,313,43,1916845.66409008,-85.7898658476759,30.493850565162173
nhdhr_89423661,NA,390,39004,309,61,22153175.7186875,-86.31967064834433,32.67057878056865
nhdhr_89504899,NA,390,39004,310,68,67703195.1016779,-86.23026032755371,33.55264438409612
nhdhr_41218977,NA,390,39004,301,44,55835.7915243292,-87.35230205742273,30.56648933835533
nhdhr_41225907,NA,436,43600,301,43,50458.1695218049,-87.27794115162936,30.450118184834103
nhdhr_40517436,24,390,39010,303,45,42446.2986491767,-87.05001010590497,30.627949536605346
nhdhr_41000733,NA,390,39004,306,45,53808.3717652229,-86.68352789137592,30.730785307818252
nhdhr_40984425,NA,436,43600,307,46,89071.1402863911,-86.59412026992293,30.782231696190948
nhdhr_40990867,NA,390,39004,308,46,162565.641397331,-86.44869525334154,30.76206731643827
nhdhr_41003669,177,390,39009,310,46,1398006.7743353,-86.18946786338488,30.783382625770155
nhdhr_{C417DF4F-284D-423F-81C7-4B98CFC4309F},NA,390,39001,312,46,367814.365894954,-85.91667871682377,30.802765688956168
nhdhr_63005285,144,390,39009,312,47,484383.448021464,-85.89650466392519,30.949485740735938
nhdhr_63033535,NA,390,39004,312,46,88467.203340577,-85.88682664383266,30.79886197826517
nhdhr_63033671,NA,390,39004,313,44,444888.224257561,-85.8556664391868,30.59580596646958
nhdhr_63018317,112.5,390,39009,313,44,314040.319566891,-85.81389477215346,30.540187119156005
nhdhr_63035987,79,390,39009,314,44,155962.883111931,-85.70650002073788,30.54025153444841
nhdhr_133132566,NA,390,39004,319,46,760222.500857886,-85.01421575261703,30.796587415171874
nhdhr_133132706,NA,390,39004,319,45,77321.980458745,-85.00273721034245,30.74108950587474
nhdhr_133132402,NA,390,39004,320,46,49215.0099979748,-84.95922032461486,30.83967606315102
nhdhr_146916526,NA,390,39004,321,60,51166.7069755001,-84.8180333942054,32.60354427694336
nhdhr_120023966,NA,390,39004,305,47,1323859.34429086,-86.75876110965567,30.940459481844552
nhdhr_95535371,NA,390,39004,307,59,46920702.4194604,-86.50374914784634,32.4031278302696
nhdhr_120024200,NA,390,39004,308,64,50842320.1245697,-86.49287637976906,33.10651368238104
nhdhr_136275826,NA,390,39004,315,73,103517337.394319,-85.61995920451196,34.197715558754965
nhdhr_140747527,NA,390,39004,292,72,2457896.77885803,-88.47692618495773,34.016562787569924
nhdhr_41226257,36,390,39009,301,43,337176.65661532,-87.27426204611876,30.468391834783496
nhdhr_40515775,NA,436,43600,302,47,41660.3277503401,-87.16329146479472,30.90114533517262
nhdhr_40987537,NA,390,39004,307,45,96648.6816314831,-86.567203054217,30.710968275088256
nhdhr_41018599,253,390,39009,309,47,1675996.45005422,-86.32534436126815,30.994342586123636
nhdhr_63033567,NA,436,43600,310,46,74962.2902692177,-86.12869359521635,30.751518101898256
nhdhr_62965785,NA,390,39004,312,43,115224.497632384,-85.91636819152102,30.432330402985404
nhdhr_63018309,56.5,390,39009,313,44,53553.2499835535,-85.77034642109157,30.508922486028407
nhdhr_63036357,92,390,39009,314,44,75740.3355358867,-85.70396329079601,30.521471940402503
nhdhr_{F3913296-29A0-4CBE-8F01-0B3B6F11B84D},NA,390,39004,314,44,204451.882525824,-85.68750015731997,30.516703225192263
nhdhr_63033453,197,390,39009,314,47,264071.140457649,-85.6374487771585,30.97616480566301
nhdhr_133132160,NA,390,39001,319,47,53240.0376777984,-85.01673210263812,30.905963181571874
nhdhr_133132581,25.6,390,39009,320,46,55722.1289462764,-84.99985128316452,30.795101733217685
nhdhr_133132649,25.6,390,39009,320,46,294842.796210043,-84.98629581733302,30.775904306331743
nhdhr_63033697,62,390,39009,314,44,1399748.75003566,-85.73297336843964,30.50819159176447
nhdhr_120024421,NA,390,39004,301,47,427774.597847218,-87.29016913960692,30.96529513146129
nhdhr_40512880,NA,390,39004,305,45,93546.7671653014,-86.761671503298885,30.72420972802857
nhdhr_41000731,NA,390,39004,306,45,72991.3183584586,-86.68823022799575,30.73299004338454
nhdhr_40984047,NA,436,43600,307,46,58541.8543910496,-86.59141048772696,30.81975532251837
nhdhr_41011591,NA,436,43600,307,47,84668.3590371786,-86.60139875296899,30.888869556385874
nhdhr_63033541,191,390,39009,310,46,2246173.19772094,-86.13030460473291,30.7704229605541
nhdhr_62985811,NA,436,43600,311,45,66353.0757728145,-86.06197974951084,30.659962014050414
nhdhr_63033557,NA,390,39004,311,46,614025.515677584,-86.06076164527128,30.75254001190091
nhdhr_62997987,NA,390,39004,311,46,54650.7629296109,-86.05563070114522,30.76643202094496
nhdhr_62997377,NA,390,39004,311,46,1368749.95354834,-86.03029918181556,30.816565574217602
nhdhr_63030367,NA,390,39004,312,44,69226.0395582784,-85.91212398550509,30.533315271264648
nhdhr_62965803,NA,390,39004,312,43,40521.9041889012,-85.88362904027831,30.427827054005334
nhdhr_63017787,23,390,39009,313,44,96264.0350259338,-85.8716547932112,30.535282008909665
nhdhr_63003757,34,390,39009,313,45,55014.0932475552,-85.87130114135438,30.628133832275285
nhdhr_63029309,NA,390,39004,313,43,55126.5552804358,-85.81787199935906,30.49485617707304
nhdhr_63018087,79.5,390,39009,313,44,84379.1167725809,-85.76104366783807,30.523667275947542
nhdhr_{54ED1D21-2409-40D4-A9FD-6013BC25E2EA},NA,390,39004,314,44,395288.710952494,-85.68520188854426,30.52377033193944
nhdhr_63035833,NA,390,39004,314,44,58717.645937793,-85.67677128834305,30.567064984586864
nhdhr_63033703,67,390,39009,315,44,211898.842684137,-85.624809594651,30.53652414916619
nhdhr_85819556,NA,390,39004,317,43,66243.1173695931,-85.29710288042007,30.420765920284225
nhdhr_133132064,NA,390,39004,319,47,41702.0748334825,-85.0152782766998,30.936266239515906
nhdhr_131264255,NA,390,39004,301,68,16749485.029067,-87.28320806408037,33.50683145266137
nhdhr_74557502,60,390,39009,308,51,7379315.363691,-86.43869726772166,31.439952509351098
nhdhr_90882825,NA,390,39004,306,67,3899376.25899055,-86.64990566783744,33.46473201843911
nhdhr_136593476,193.5,390,39009,318,64,90460410.8274424,-85.14540060621484,33.04655503241034
nhdhr_38952979,NA,436,43600,301,47,40656.5952022802,-87.27423189462542,30.93623390532425
nhdhr_40518825,NA,390,39004,305,46,432094.220821444,-86.8295118212875,30.86323941374703
nhdhr_40985241,NA,436,43600,307,46,67177.6263863984,-86.58880785320517,30.78208095982832
nhdhr_40984977,NA,390,39004,307,46,72054.0155252125,-86.53690628123621,30.785143002329992
nhdhr_120024007,NA,390,39004,308,45,41635.6514815837,-86.37507964695095,30.6785749697798
nhdhr_41010467,NA,390,39004,309,46,52942.8541871943,-86.26346716722735,30.768994311266326
nhdhr_62967535,NA,390,39004,311,43,97634.7785992017,-86.09515255803217,30.456311824866805
nhdhr_62985879,NA,390,39004,311,45,50912.4658630081,-86.09687987606785,30.627223418168477
nhdhr_62997309,NA,390,39004,311,46,204990.768813318,-86.03776259676103,30.853654187473712
nhdhr_63033875,69,390,39009,314,45,1547711.2307639,-85.74693883566933,30.691124965582475
nhdhr_62982465,85,390,39009,314,43,653231.196873069,-85.71133674398527,30.48617070268871
nhdhr_63033549,102,390,39009,314,46,322098.145654938,-85.69282475022509,30.752746746438774
nhdhr_62994285,89,390,39009,315,44,49814.5864295689,-85.58898467494205,30.55236977678573
nhdhr_167110111,NA,390,39000,318,45,51354.8334998954,-85.17117560065638,30.652016380546858
