,site_id,rmse,rmse_prev,rmse_improve,FType,FCode
868,nhdhr_36751616,1.7189400203859249,3.012342801826182,-1.2934027814402573,390,39004
869,nhdhr_{090a66ed-aef2-417d-b8a4-59331c4bcd11},0.3674584937466352,0.7612772898792907,-0.39381879613265547,390,39009
870,nhdhr_120023365,3.654999356172404,3.119579064338557,0.5354202918338471,390,39009
871,nhdhr_155925549,1.464111416655462,1.7903033244427868,-0.32619190778732476,390,39004
872,nhdhr_49302924,2.144288735295848,1.4883029898299662,0.655985745465882,390,39004
873,nhdhr_{C8B77AA6-436B-4C3A-882C-D2B0E595737A},1.7376037123836596,1.88761139646478,-0.15000768408112042,390,39004
874,nhdhr_{4eeb9b98-b59b-465e-8cf9-ee60ecc42f6d},1.023092970080002,1.2377706254229313,-0.21467765534292926,390,39009
875,nhdhr_{dd9c638a-2c9a-472c-809f-2a294b3c0655},1.0851804431895724,1.2191606111365734,-0.13398016794700096,390,39009
876,nhdhr_151989562,1.8339187778641102,1.7015404365593187,0.13237834130479142,390,39004
877,nhdhr_{64CFE5EA-6C8E-4412-999B-D71DAB283998},1.639725323992875,1.2261302623837758,0.4135950616090993,436,43600
878,nhdhr_{e18aeba2-08ce-4663-8b5d-07882219022f},1.9083980528203441,2.192741625210989,-0.2843435723906449,390,39004
879,nhdhr_132431523,1.361944765829009,1.2520050629174362,0.10993970291157273,390,39004
880,nhdhr_132432531,1.9488410949707031,2.2571582794189453,-0.3083171844482422,390,39009
881,nhdhr_{85396D2D-5FD9-4BBB-8A56-E3F4EBF6370A},1.5048839637805942,1.3478112751019429,0.15707268867865132,390,39009
882,nhdhr_{2e9f08e4-f077-4791-809f-830c965cef01},1.3706147685130887,1.4481150293515772,-0.07750026083848849,390,39009
883,nhdhr_{67E63D89-66C8-45F5-9485-7332D7647437},1.5558143283534815,1.402067142242792,0.1537471861106896,390,39004
884,nhdhr_139182207,2.0069994285580384,1.7724682978753181,0.23453113068272025,390,39004
885,nhdhr_{3D183B06-E46C-475A-B797-311842075CF0},2.1734920869987966,2.1177771990683047,0.05571488793049184,390,39004
886,nhdhr_120032721,1.5936889239673964,1.6609525387460744,-0.06726361477867804,390,39009
887,nhdhr_{91BCB789-03B3-4CB9-B82B-62D713158C5A},3.395693053867682,3.8324268711768767,-0.4367338173091948,390,39004
888,nhdhr_91153185,1.6272543681179938,2.4423775573879767,-0.8151231892699828,390,39009
889,nhdhr_91152589,1.3554265370141936,1.546990038708491,-0.19156350169429737,390,39009
890,nhdhr_141033526,0.8012461284467978,0.24751648817296484,0.553729640273833,390,39004
891,nhdhr_141031585,1.1482731264310388,1.3925799771840468,-0.24430685075300795,390,39004
892,nhdhr_141033653,3.6055450439453125,0.8202705383300781,2.7852745056152344,436,43600
893,nhdhr_{DEB3953A-7096-4712-B99F-A22F68109117},1.4238417503285141,2.0182722872962358,-0.5944305369677216,390,39004
894,nhdhr_{4B9142E5-3575-4603-9746-7210D2629FEF},1.5839637416492327,2.549818830640994,-0.9658550889917612,390,39004
895,nhdhr_150098065,1.2274626815479772,1.197755057909926,0.02970762363805113,390,39004
896,nhdhr_{2732C1F9-5912-4ADE-9335-D9A3E4047CDD},2.919516970353279,3.5254549754786697,-0.6059380051253909,390,39004
897,nhdhr_{AB3BE69E-202C-4A55-9075-FB0EBC130BDE},5.38466739654541,2.704746723175049,2.6799206733703613,390,39004
898,nhdhr_{C30FF1BB-FE02-42F9-98BB-A044AC6C5DA0},2.779469841451823,3.3657056985148723,-0.5862358570630493,390,39004
899,nhdhr_151716604,1.0757770538330078,0.8848495483398438,0.19092750549316406,390,39009
900,nhdhr_129969671,2.0883608620050533,1.0040575297815135,1.0843033322235398,390,39009
901,nhdhr_129968217,1.4232061675583487,1.416148548837561,0.007057618720787806,390,39009
902,nhdhr_{ABF988C9-2BE3-456C-BB91-219A1AB42D83},0.7498980758279986,1.2626074190914014,-0.5127093432634028,390,39004
903,nhdhr_142978857,1.4695320129394531,0.32317352294921875,1.1463584899902344,390,39004
904,nhdhr_{299611C4-CD6A-492D-BA76-65A2D09A49BE},0.9266281127929688,1.0239982604980469,-0.09737014770507812,390,39004
905,nhdhr_150612382,0.1356792449951172,0.2800445556640625,-0.1443653106689453,390,39004
906,nhdhr_118182080,2.306147990901859,1.8992057325579883,0.40694225834387066,390,39004
907,nhdhr_152243780,0.9193799534495085,0.9117306875560712,0.007649265893437285,390,39004
908,nhdhr_{19500FBB-F435-45F7-BC09-9A39F51C28FF},2.8823028120692635,2.5369602045345117,0.3453426075347519,390,39004
909,nhdhr_{369351CF-2045-4434-9754-DD798C091956},4.921257019042969,6.441417694091798,-1.520160675048829,390,39004
910,nhdhr_152244089,0.9532330548125119,1.0365622320907029,-0.083329177278191,390,39004
911,nhdhr_142978516,1.3411884307861328,2.0025405883789062,-0.6613521575927734,390,39004
912,nhdhr_{7F754F1F-DABB-4FDF-BC41-55DCA8464E40},3.21228739435705,2.762429001159437,0.449858393197613,390,39004
913,nhdhr_{400DB698-212E-463C-9CEB-10C739236240},1.4631063797457642,1.4741410247032485,-0.011034644957484296,390,39004
914,nhdhr_{C47CFE01-7B56-48C4-A282-A09EBA602F40},3.6425085067749023,5.145282745361328,-1.5027742385864258,390,39004
915,nhdhr_152433086,0.5618553161621094,0.2650623321533203,0.29679298400878906,390,39004
916,nhdhr_152244103,0.8289367363019549,1.0928771839454774,-0.26394044764352254,390,39004
917,nhdhr_152243868,0.9310279509685182,1.244988404751681,-0.31396045378316284,390,39004
918,nhdhr_{533A5BF1-E7CA-43AB-BDB0-9BD302E447BF},1.3459634793509199,1.913191995197389,-0.5672285158464692,390,39004
919,nhdhr_151715315,1.3231773376464844,0.6722774505615234,0.6508998870849609,390,39009
920,nhdhr_{4CDCDBA3-034C-4DC3-B27E-71A9C4D4420D},0.737676734036206,1.4040716148420838,-0.6663948808058777,390,39004
921,nhdhr_{9042FEE3-F7BE-4DE8-A00E-41A1421F2029},1.8393927101885266,1.2174037063828238,0.6219890038057028,390,39004
922,nhdhr_{37BA76BB-BDF4-4B35-970C-0418AA732A61},0.36753850830354606,2.1544413729761978,-1.7869028646726517,390,39004
923,nhdhr_141034851,2.2154308114206356,2.0563426181418123,0.1590881932788233,390,39004
