,cluster,Median RMSE
0,0,1.4807892601743493
1,1,1.3293184239173366
2,2,0.9697169721791642
3,3,1.7020803670054685
4,4,1.2719796385267117
5,5,1.3263527499445371
6,6,1.4524589219305022
7,7,1.2873103659328813
8,8,1.3014966923425484
9,9,1.4879990408116912
10,10,1.8564312835737544
11,11,0.9449016418985235
12,12,1.1880569458007812
13,13,1.2614025186354998
14,14,1.8946764119273705
15,15,1.4671790482001605
